number,sounds (reference),image (peg word),note / clarifier,decode hook (image → number)
0,s/z · s/z,Sauce,,
1,s/z · t/d,Seed,,"A single lone seed sprouts one straight stem shooting up like the number 1 — one seed, Seed = 1."
2,s/z · n,Sun,,"The sun blazes in the sky while its twin shimmers reflected in the water below — 2 suns, Sun = 2."
3,s/z · m,Sumo,,"A sumo wrestler braces on 3 massive legs as he stomps the ring — count them, 3 — Sumo = 3."
4,s/z · r,Sore,,"A car limps along with a throbbing sore on each of its 4 tires — 4 sores, Sore = 4."
5,s/z · L,Soul,,"A glowing soul streams out through all 5 fingers of an open hand and reconnects just outside the body — 5 fingers, Soul = 5."
6,s/z · j·sh·ch,Sushi,,
7,s/z · k·g,Sock,,
8,s/z · f·v,Sofa,,
9,s/z · p·b,Soap,,
10,t/d · s/z,Dice,,
11,t/d · t/d,Dad,,
12,t/d · n,DNA,a DNA double-helix,
13,t/d · m,Dime,,
14,t/d · r,Door,,
15,t/d · L,Doll,,
16,t/d · j·sh·ch,Tissue,,
17,t/d · k·g,Toga,,
18,t/d · f·v,TV,,
19,t/d · p·b,Tuba,,
20,n · s/z,Nose,,
21,n · t/d,Net,,
22,n · n,Nun,,
23,n · m,Nemo,,
24,n · r,Nero,,
25,n · L,Nail,,
26,n · j·sh·ch,Nacho,,
27,n · k·g,Nike,,
28,n · f·v,Knife,,
29,n · p·b,Nap,,
30,m · s/z,Mouse,a small mouse,
31,m · t/d,Mat,,
32,m · n,Moon,,
33,m · m,Mummy,,
34,m · r,Mare,,
35,m · L,Molly,,
36,m · j·sh·ch,Match,,
37,m · k·g,Mic,,
38,m · f·v,Movie,,
39,m · p·b,Map,,
40,r · s/z,Rose,,
41,r · t/d,Radio,,
42,r · n,Rhino,,
43,r · m,Rum,a bottle of rum,
44,r · r,Error,a red X error mark,
45,r · L,Reel,,
46,r · j·sh·ch,Arch,,
47,r · k·g,Rock,,
48,r · f·v,Roof,,
49,r · p·b,Harp,,
50,L · s/z,Lasso,,
51,L · t/d,Lid,,
52,L · n,Lion,,
53,L · m,Limo,,
54,L · r,Hillary,the name Hillary,
55,L · L,LOL,LOL — laughing out loud,
56,L · j·sh·ch,Leech,,
57,L · k·g,Leak,,
58,L · f·v,Lava,,
59,L · p·b,Lip,,
60,j·sh·ch · s/z,Cheese,,
61,j·sh·ch · t/d,Cheetah,,
62,j·sh·ch · n,Genie,,
63,j·sh·ch · m,Chime,,
64,j·sh·ch · r,Cherry,,
65,j·sh·ch · L,Chilli,,
66,j·sh·ch · j·sh·ch,Judge,,
67,j·sh·ch · k·g,Chick,,
68,j·sh·ch · f·v,Chef,,
69,j·sh·ch · p·b,Ship,,
70,k·g · s/z,Goose,,
71,k·g · t/d,Cat,,
72,k·g · n,Gun,,
73,k·g · m,Gum,,
74,k·g · r,Car,,
75,k·g · L,Koala,,
76,k·g · j·sh·ch,Cage,,
77,k·g · k·g,Cake,,
78,k·g · f·v,Coffee,,
79,k·g · p·b,Cube,a Rubik's Cube,
80,f·v · s/z,Vase,,
81,f·v · t/d,Foot,,
82,f·v · n,Fan,,
83,f·v · m,Foam,,
84,f·v · r,Fire,,
85,f·v · L,Fly,,
86,f·v · j·sh·ch,Fish,,
87,f·v · k·g,Fog,,
88,f·v · f·v,FIFA,a FIFA soccer star,
89,f·v · p·b,Phoebe,Phoebe from Friends,
90,p·b · s/z,Bus,,
91,p·b · t/d,Bat,,
92,p·b · n,Piano,,
93,p·b · m,Beam,a beam of light,
94,p·b · r,Bear,,
95,p·b · L,Apple,,
96,p·b · j·sh·ch,Bush,,
97,p·b · k·g,Book,,
98,p·b · f·v,Biff,"Biff, Back to the Future",
99,p·b · p·b,Poop,the poop emoji,
100,t/d · s/z · s/z,Daisies,,
101,t/d · s/z · t/d,Toast,,
102,t/d · s/z · n,Dozen,,
103,t/d · s/z · m,Tasmanian devil,the Tasmanian devil,
104,t/d · s/z · r,Taser,,
105,t/d · s/z · L,Tesla,,
106,t/d · s/z · j·sh·ch,Dosage,,
107,t/d · s/z · k·g,Disc,,
108,t/d · s/z · f·v,Adhesive,,
109,t/d · s/z · p·b,Teaspoon,,
