book #,book name,image (peg word),name sounds like,phonetic breakdown,story sentence,number → image,image → number,image → book,book → image
1,Genesis,Seed,a glowing seed (Genesis),,GENESIS = a glowing SEED that sprouts a whole world — book 1 — knotted off with the first knot of a necktie (tie = 1) at the beginning of everything.,"The number 1 stands alone in empty black soil, then shrinks and curls into a single glowing SEED that pulses like a heartbeat.","The seed cracks and pushes up exactly ONE green sprout — count it: one sprout, one seed, the number 1.","The one seed splits open and an entire world unfolds out of it — garden, rivers, stars — as light floods the darkness: GENESIS, the book where everything begins.","Open Genesis to 'In the beginning' and a single seed rolls off the page, drops into the dark, and sprouts."
2,Exodus,Sun,an EXIT sign (Exodus),,EXODUS is a glowing EXIT the people rush through — book 2 — led out in pairs like Noah's animals (Noah = 2).,"A giant golden 2 rises over the horizon, ignites, and blazes into the SUN, so bright the whole sky turns to morning.","The sun hangs over a still lake with its twin burning in the reflection — two suns, count them: 2.","A million slaves step out of Egypt's black night straight into a blinding sunrise, chains melting in the light of freedom: EXODUS, the great coming OUT.",Read Exodus and see the sea part at dawn — the sun breaks over the open path as the people walk out into its light.
3,Leviticus,Sumo,a priest levitating (Leviticus),,LEVITICUS lifts a priest LEVITATING above the altar — book 3 — while your ma looks up in awe (ma = 3).,A colossal number 3 tips sideways and becomes the round belly-folds of a mighty SUMO wrestler crouching in the ring.,"The sumo braces impossibly on THREE legs, each slamming the mat — count the legs: 3.","Before the match the enormous sumo solemnly flings handfuls of salt to purify the ring, like the priests purifying the altar with offering after offering: LEVITICUS, the book of holiness and sacrifice.","Read Leviticus about priests, altars, and cleansing — and picture the giant sumo reverently scattering his purifying salt across the sacred ring."
4,Numbers,Sore,floating numbers (Numbers),,NUMBERS is a wilderness raining floating counting-NUMBERS — book 4 — down onto a loaf of rye (rye = 4).,The number 4 rolls onto the road and becomes a battered car whose FOUR tires each throb with an angry red SORE.,"One swollen sore on each wheel — count the sores as the car limps past: four sores, the number 4.","The sores are wilderness blisters: forty years of desert wandering, and at every campsite the limping marchers are lined up and COUNTED — NUMBERS, the book of the numbered wanderers.","Read Numbers with its census lists and forty-year wanderings, and see every counted foot covered in one aching sore."
5,Deuteronomy,Soul,the Law given again (Deuteronomy),,DEUTERONOMY is the Law repeated a second time — book 5 — the stone tablets of the LAW held high (law = 5).,"A hand raises the number 5 and it dissolves into a shining SOUL, streaming upward like silver mist from the open palm.","The soul pours out through ALL FIVE fingers at once, one bright ribbon per finger — count the ribbons: 5.","As Moses repeats the Law a second time, every soul in the crowd streams upward toward the pillar of glory-light: 'love the LORD with all thy soul' — DEUTERONOMY.","Read Deuteronomy's 'with all thy soul' and see the soul rise glowing from an open, five-fingered hand toward the light."
6,Joshua,Sushi,a GIANT SHOE knocking down ALL the walls,Jo=GIANT | shu=SHOE | a=ALL,JOSHUA blows the trumpet and Jericho falls — book 6 — a giant SHOE stomping the walls flat (shoe = 6).,,,,
7,Judges,Sock,a judge's gavel (Judges),,JUDGES raise gavels from the bench — book 7 — while a COW lows in the courtroom (cow = 7).,,,,
8,Ruth,Sofa,a sheltering roof (Ruth),,RUTH gleans in the field and finds shelter under a ROOF — book 8 — draped in figure-8 IVY (ivy = 8).,,,,
9,1 Samuel,Soap,the boy Samuel (1 Samuel),,First SAMUEL: young Sam hears God call in the night — book 9 — as a BEE buzzes softly by his ear (bee = 9).,,,,
10,2 Samuel,Dice,Samuel again (2 Samuel),,"Second SAMUEL: King David dances before the ark — book 10 — barefoot, all ten TOES showing (toes = 10).",,,,
